,id,payload_len,num_authors,num_topics,action,gas,time
0,IPEN_bff356ddd7f20d327b1b45ccdf8dc383,300,1,12,assingID,257436,0.722731351852417
1,IPEN_bff356ddd7f20d327b1b45ccdf8dc383,300,1,12,addSearchTerm,223016,2.151564359664917
2,IPEN_bff356ddd7f20d327b1b45ccdf8dc383,300,1,12,addSearchTerm,205149,1.8121118545532227
3,IPEN_bff356ddd7f20d327b1b45ccdf8dc383,300,1,12,addSearchTerm,195914,2.0763702392578125
4,IPEN_bff356ddd7f20d327b1b45ccdf8dc383,300,1,12,addSearchTerm,218710,1.878204345703125
5,IPEN_bff356ddd7f20d327b1b45ccdf8dc383,300,1,12,addSearchTerm,203335,1.9724204540252686
6,IPEN_bff356ddd7f20d327b1b45ccdf8dc383,300,1,12,addSearchTerm,214353,2.076166868209839
7,IPEN_bff356ddd7f20d327b1b45ccdf8dc383,300,1,12,addSearchTerm,214375,1.9751334190368652
8,IPEN_bff356ddd7f20d327b1b45ccdf8dc383,300,1,12,addSearchTerm,218795,1.9720075130462646
9,IPEN_bff356ddd7f20d327b1b45ccdf8dc383,300,1,12,addSearchTerm,230595,2.094090461730957
10,IPEN_bff356ddd7f20d327b1b45ccdf8dc383,300,1,12,addSearchTerm,222597,2.009892463684082
11,IPEN_bff356ddd7f20d327b1b45ccdf8dc383,300,1,12,addSearchTerm,224359,1.9035155773162842
12,IPEN_bff356ddd7f20d327b1b45ccdf8dc383,300,1,12,addSearchTerm,222501,1.9843645095825195
13,IPEN_bff356ddd7f20d327b1b45ccdf8dc383,300,1,12,addExternalLink,185801,2.0956356525421143
14,IPEN_bff356ddd7f20d327b1b45ccdf8dc383,300,1,12,setPayload,222501,2.053023338317871
15,IPEN_6610aca9dc13e97bbd4022a148e90562,284,1,5,assingID,257436,1.890519618988037
16,IPEN_6610aca9dc13e97bbd4022a148e90562,284,1,5,addSearchTerm,225215,1.9950783252716064
17,IPEN_6610aca9dc13e97bbd4022a148e90562,284,1,5,addSearchTerm,206569,1.9806158542633057
18,IPEN_6610aca9dc13e97bbd4022a148e90562,284,1,5,addSearchTerm,201412,1.9774925708770752
19,IPEN_6610aca9dc13e97bbd4022a148e90562,284,1,5,addSearchTerm,211010,2.0806357860565186
20,IPEN_6610aca9dc13e97bbd4022a148e90562,284,1,5,addSearchTerm,213231,1.9803798198699951
21,IPEN_6610aca9dc13e97bbd4022a148e90562,284,1,5,addExternalLink,170492,1.9790287017822266
