,id,payload_len,num_authors,num_topics,action,gas,time
0,SBFPO-1_b08511c1ec86e0602e43dcf0cf8a5e74,248,1,4,assingID,282792,1.15238618850708
1,SBFPO-1_b08511c1ec86e0602e43dcf0cf8a5e74,248,1,4,addSearchTerm,338617,2.071305274963379
2,SBFPO-1_b08511c1ec86e0602e43dcf0cf8a5e74,248,1,4,addSearchTerm,285483,2.2108521461486816
3,SBFPO-1_b08511c1ec86e0602e43dcf0cf8a5e74,248,1,4,addSearchTerm,299482,3.7482664585113525
4,SBFPO-1_b08511c1ec86e0602e43dcf0cf8a5e74,248,1,4,addSearchTerm,295106,2.0392251014709473
5,SBFPO-1_b08511c1ec86e0602e43dcf0cf8a5e74,248,1,4,addExternalLink,295106,2.868251085281372
6,SBFPO-1_b08511c1ec86e0602e43dcf0cf8a5e74,248,1,4,setPayload,295106,3.3863210678100586
7,SBFPO-1_a4797c4b15cd3dca5f952a28c251579a,267,1,5,assingID,253310,1.6881413459777832
8,SBFPO-1_a4797c4b15cd3dca5f952a28c251579a,267,1,5,addSearchTerm,307108,2.11425518989563
9,SBFPO-1_a4797c4b15cd3dca5f952a28c251579a,267,1,5,addSearchTerm,284383,2.0406250953674316
10,SBFPO-1_a4797c4b15cd3dca5f952a28c251579a,267,1,5,addSearchTerm,286745,2.04158353805542
11,SBFPO-1_a4797c4b15cd3dca5f952a28c251579a,267,1,5,addSearchTerm,286626,1.8081541061401367
12,SBFPO-1_a4797c4b15cd3dca5f952a28c251579a,267,1,5,addSearchTerm,303565,1.9320812225341797
13,SBFPO-1_a4797c4b15cd3dca5f952a28c251579a,267,1,5,addExternalLink,303565,2.3324642181396484
14,SBFPO-1_a4797c4b15cd3dca5f952a28c251579a,267,1,5,setPayload,303565,1.7425537109375
15,SBFPO-1_47549ff74009907e2cd571a6193407f3,253,1,3,assingID,251247,1.9581875801086426
16,SBFPO-1_47549ff74009907e2cd571a6193407f3,253,1,3,addSearchTerm,298628,1.968285322189331
17,SBFPO-1_47549ff74009907e2cd571a6193407f3,253,1,3,addSearchTerm,291764,2.186661720275879
18,SBFPO-1_47549ff74009907e2cd571a6193407f3,253,1,3,addSearchTerm,284405,1.8399455547332764
19,SBFPO-1_47549ff74009907e2cd571a6193407f3,253,1,3,addExternalLink,284405,2.157512664794922
20,SBFPO-1_47549ff74009907e2cd571a6193407f3,253,1,3,setPayload,284405,1.8523695468902588
21,SBFPO-1_c13e3f88c862c35bed347636e1a41aae,323,1,4,assingID,253310,2.181790351867676
22,SBFPO-1_c13e3f88c862c35bed347636e1a41aae,323,1,4,addSearchTerm,216415,1.8624975681304932
23,SBFPO-1_c13e3f88c862c35bed347636e1a41aae,323,1,4,addSearchTerm,286263,2.0955638885498047
24,SBFPO-1_c13e3f88c862c35bed347636e1a41aae,323,1,4,addSearchTerm,281106,1.9334304332733154
25,SBFPO-1_c13e3f88c862c35bed347636e1a41aae,323,1,4,addSearchTerm,297305,1.9605708122253418
26,SBFPO-1_c13e3f88c862c35bed347636e1a41aae,323,1,4,addExternalLink,297305,1.944333553314209
27,SBFPO-1_c13e3f88c862c35bed347636e1a41aae,323,1,4,setPayload,297305,1.9826197624206543
28,SBFPO-1_65aec7cc1abc3d194c8e5757c15fa095,260,1,4,assingID,253310,2.1793861389160156
29,SBFPO-1_65aec7cc1abc3d194c8e5757c15fa095,260,1,4,addSearchTerm,223796,1.9707059860229492
30,SBFPO-1_65aec7cc1abc3d194c8e5757c15fa095,260,1,4,addSearchTerm,282325,2.446625232696533
31,SBFPO-1_65aec7cc1abc3d194c8e5757c15fa095,260,1,4,addSearchTerm,283306,1.4753928184509277
32,SBFPO-1_65aec7cc1abc3d194c8e5757c15fa095,260,1,4,addSearchTerm,296205,2.0770325660705566
33,SBFPO-1_65aec7cc1abc3d194c8e5757c15fa095,260,1,4,addExternalLink,296205,1.9454636573791504
34,SBFPO-1_65aec7cc1abc3d194c8e5757c15fa095,260,1,4,setPayload,296205,1.9523637294769287
35,SBFPO-1_e67cca0ff17da9d7d69f7933ebb2b5cc,250,1,3,assingID,253310,1.9560317993164062
36,SBFPO-1_e67cca0ff17da9d7d69f7933ebb2b5cc,250,1,3,addSearchTerm,300968,2.150986433029175
37,SBFPO-1_e67cca0ff17da9d7d69f7933ebb2b5cc,250,1,3,addSearchTerm,289562,2.0122032165527344
38,SBFPO-1_e67cca0ff17da9d7d69f7933ebb2b5cc,250,1,3,addSearchTerm,290683,2.1205317974090576
39,SBFPO-1_e67cca0ff17da9d7d69f7933ebb2b5cc,250,1,3,addExternalLink,290683,1.8579766750335693
40,SBFPO-1_e67cca0ff17da9d7d69f7933ebb2b5cc,250,1,3,setPayload,290683,1.8688459396362305
41,SBFPO-1_417ba5ef4025f09f55c4088d392e8184,202,1,4,assingID,253310,2.126162528991699
42,SBFPO-1_417ba5ef4025f09f55c4088d392e8184,202,1,4,addSearchTerm,308988,1.9926786422729492
43,SBFPO-1_417ba5ef4025f09f55c4088d392e8184,202,1,4,addSearchTerm,292863,1.976438283920288
44,SBFPO-1_417ba5ef4025f09f55c4088d392e8184,202,1,4,addSearchTerm,280007,1.9718716144561768
45,SBFPO-1_417ba5ef4025f09f55c4088d392e8184,202,1,4,addSearchTerm,291804,1.9743638038635254
46,SBFPO-1_417ba5ef4025f09f55c4088d392e8184,202,1,4,addExternalLink,291804,1.9295549392700195
47,SBFPO-1_417ba5ef4025f09f55c4088d392e8184,202,1,4,setPayload,291804,2.018839120864868
48,SBFPO-1_fb1ca7ed6e5462170623211c091adfa4,223,1,3,assingID,251247,2.1078944206237793
49,SBFPO-1_fb1ca7ed6e5462170623211c091adfa4,223,1,3,addSearchTerm,302387,2.014319658279419
50,SBFPO-1_fb1ca7ed6e5462170623211c091adfa4,223,1,3,addSearchTerm,282184,2.7470779418945312
51,SBFPO-1_fb1ca7ed6e5462170623211c091adfa4,223,1,3,addSearchTerm,285505,1.2612757682800293
52,SBFPO-1_fb1ca7ed6e5462170623211c091adfa4,223,1,3,addExternalLink,285505,1.958510398864746
53,SBFPO-1_fb1ca7ed6e5462170623211c091adfa4,223,1,3,setPayload,285505,1.9288585186004639
54,SBFPO-1_d552b022238f07302119a0cdce85a349,224,1,3,assingID,253310,2.128178119659424
55,SBFPO-1_d552b022238f07302119a0cdce85a349,224,1,3,addSearchTerm,295010,1.8822319507598877
56,SBFPO-1_d552b022238f07302119a0cdce85a349,224,1,3,addSearchTerm,287043,2.112889051437378
57,SBFPO-1_d552b022238f07302119a0cdce85a349,224,1,3,addSearchTerm,293805,1.8538382053375244
58,SBFPO-1_d552b022238f07302119a0cdce85a349,224,1,3,addExternalLink,293805,2.1275835037231445
59,SBFPO-1_d552b022238f07302119a0cdce85a349,224,1,3,setPayload,293805,2.026724338531494
60,SBFPO-1_536752e997e00ca4b7673009bd1444ce,298,1,3,assingID,253310,2.0392026901245117
61,SBFPO-1_536752e997e00ca4b7673009bd1444ce,298,1,3,addSearchTerm,303807,1.8219363689422607
62,SBFPO-1_536752e997e00ca4b7673009bd1444ce,298,1,3,addSearchTerm,201390,2.0477559566497803
63,SBFPO-1_536752e997e00ca4b7673009bd1444ce,298,1,3,addSearchTerm,201552,2.090247869491577
64,SBFPO-1_536752e997e00ca4b7673009bd1444ce,298,1,3,addExternalLink,201552,2.0310964584350586
65,SBFPO-1_536752e997e00ca4b7673009bd1444ce,298,1,3,setPayload,201552,1.9414143562316895
