,id,payload_len,num_authors,num_topics,action,gas,time
0,SBFPO-1_4855df607c66a85e8c75a5624d8d7e08,309,1,3,assingID,255373,0.5502655506134033
1,SBFPO-1_4855df607c66a85e8c75a5624d8d7e08,309,1,3,addSearchTerm,296109,1.9822781085968018
2,SBFPO-1_4855df607c66a85e8c75a5624d8d7e08,309,1,3,addSearchTerm,293323,1.9842846393585205
3,SBFPO-1_4855df607c66a85e8c75a5624d8d7e08,309,1,3,addSearchTerm,296184,1.9811828136444092
4,SBFPO-1_4855df607c66a85e8c75a5624d8d7e08,309,1,3,addExternalLink,296184,1.980414628982544
5,SBFPO-1_4855df607c66a85e8c75a5624d8d7e08,309,1,3,setPayload,296184,1.9785258769989014
6,SBFPO-1_2cfffa59cdf42bcc4fefcc80076fcb5f,418,1,4,assingID,255373,2.0839157104492188
7,SBFPO-1_2cfffa59cdf42bcc4fefcc80076fcb5f,418,1,4,addSearchTerm,299856,1.9791269302368164
8,SBFPO-1_2cfffa59cdf42bcc4fefcc80076fcb5f,418,1,4,addSearchTerm,286250,1.9769032001495361
9,SBFPO-1_2cfffa59cdf42bcc4fefcc80076fcb5f,418,1,4,addSearchTerm,290670,1.9824914932250977
10,SBFPO-1_2cfffa59cdf42bcc4fefcc80076fcb5f,418,1,4,addSearchTerm,297293,1.9763855934143066
11,SBFPO-1_2cfffa59cdf42bcc4fefcc80076fcb5f,418,1,4,addExternalLink,297293,2.064180612564087
12,SBFPO-1_2cfffa59cdf42bcc4fefcc80076fcb5f,418,1,4,setPayload,297293,1.969341516494751
