,id,payload_len,num_authors,num_topics,action,gas,time
0,IPEN_1d7ff384ff236a9662ef4fd64c43c41e,256,1,3,assingID,257542,1.5267891883850098
1,IPEN_1d7ff384ff236a9662ef4fd64c43c41e,256,1,3,addSearchTerm,221133,2.1283812522888184
2,IPEN_1d7ff384ff236a9662ef4fd64c43c41e,256,1,3,addSearchTerm,200291,1.8699710369110107
3,IPEN_1d7ff384ff236a9662ef4fd64c43c41e,256,1,3,addSearchTerm,194815,2.046130895614624
4,IPEN_1d7ff384ff236a9662ef4fd64c43c41e,256,1,3,addExternalLink,166119,1.9920358657836914
5,IPEN_c82c7425b96930dbd2ff526754886efb,229,1,12,assingID,257436,2.0363149642944336
6,IPEN_c82c7425b96930dbd2ff526754886efb,229,1,12,addSearchTerm,221913,1.9507191181182861
7,IPEN_c82c7425b96930dbd2ff526754886efb,229,1,12,addSearchTerm,198232,1.9738795757293701
8,IPEN_c82c7425b96930dbd2ff526754886efb,229,1,12,addSearchTerm,207690,1.9747843742370605
9,IPEN_c82c7425b96930dbd2ff526754886efb,229,1,12,addSearchTerm,204733,2.071953058242798
10,IPEN_c82c7425b96930dbd2ff526754886efb,229,1,12,addSearchTerm,214334,1.9928739070892334
11,IPEN_c82c7425b96930dbd2ff526754886efb,229,1,12,addSearchTerm,216556,2.001190185546875
12,IPEN_c82c7425b96930dbd2ff526754886efb,229,1,12,addSearchTerm,219556,1.9767000675201416
13,IPEN_c82c7425b96930dbd2ff526754886efb,229,1,12,addSearchTerm,209998,1.9912919998168945
14,IPEN_c82c7425b96930dbd2ff526754886efb,229,1,12,addSearchTerm,221016,1.994307518005371
15,IPEN_c82c7425b96930dbd2ff526754886efb,229,1,12,addSearchTerm,219158,1.9802391529083252
16,IPEN_c82c7425b96930dbd2ff526754886efb,229,1,12,addSearchTerm,229080,1.9700591564178467
17,IPEN_c82c7425b96930dbd2ff526754886efb,229,1,12,addSearchTerm,241977,2.093468189239502
18,IPEN_c82c7425b96930dbd2ff526754886efb,229,1,12,addExternalLink,185801,1.9794178009033203
19,IPEN_e909ebff5a9b80808c4e0926f0421c83,236,1,3,assingID,257436,2.0379860401153564
20,IPEN_e909ebff5a9b80808c4e0926f0421c83,236,1,3,addSearchTerm,214536,1.9819633960723877
21,IPEN_e909ebff5a9b80808c4e0926f0421c83,236,1,3,addSearchTerm,219447,1.9785895347595215
22,IPEN_e909ebff5a9b80808c4e0926f0421c83,236,1,3,addSearchTerm,208789,1.9679617881774902
23,IPEN_e909ebff5a9b80808c4e0926f0421c83,236,1,3,addExternalLink,166119,1.9770376682281494
24,IPEN_b7ddcb938ce72e01bbf50dc8e0f93ccb,224,1,3,assingID,255373,2.1983699798583984
25,IPEN_b7ddcb938ce72e01bbf50dc8e0f93ccb,224,1,3,addSearchTerm,308208,1.9926259517669678
26,IPEN_b7ddcb938ce72e01bbf50dc8e0f93ccb,224,1,3,addSearchTerm,201390,1.8829963207244873
27,IPEN_b7ddcb938ce72e01bbf50dc8e0f93ccb,224,1,3,addSearchTerm,197014,1.9997217655181885
28,IPEN_b7ddcb938ce72e01bbf50dc8e0f93ccb,224,1,3,addExternalLink,166119,1.9873907566070557
29,IPEN_379cc819f448ac9b9ef71977c27aa32a,223,1,7,assingID,257436,1.9769277572631836
30,IPEN_379cc819f448ac9b9ef71977c27aa32a,223,1,7,addSearchTerm,220814,1.998863935470581
31,IPEN_379cc819f448ac9b9ef71977c27aa32a,223,1,7,addSearchTerm,209870,1.9787366390228271
32,IPEN_379cc819f448ac9b9ef71977c27aa32a,223,1,7,addSearchTerm,207690,2.1244654655456543
33,IPEN_379cc819f448ac9b9ef71977c27aa32a,223,1,7,addSearchTerm,202674,1.866163969039917
34,IPEN_379cc819f448ac9b9ef71977c27aa32a,223,1,7,addSearchTerm,211032,1.976271152496338
35,IPEN_379cc819f448ac9b9ef71977c27aa32a,223,1,7,addSearchTerm,214353,2.0754621028900146
36,IPEN_379cc819f448ac9b9ef71977c27aa32a,223,1,7,addSearchTerm,219096,1.9830100536346436
37,IPEN_379cc819f448ac9b9ef71977c27aa32a,223,1,7,addExternalLink,174867,1.9807062149047852
38,IPEN_80d88e68a8a2627d83c1babb3cd3d969,206,1,3,assingID,257436,1.9688751697540283
39,IPEN_80d88e68a8a2627d83c1babb3cd3d969,206,1,3,addSearchTerm,298616,2.0342509746551514
40,IPEN_80d88e68a8a2627d83c1babb3cd3d969,206,1,3,addSearchTerm,210958,1.9846165180206299
41,IPEN_80d88e68a8a2627d83c1babb3cd3d969,206,1,3,addSearchTerm,204839,1.9756884574890137
42,IPEN_80d88e68a8a2627d83c1babb3cd3d969,206,1,3,addExternalLink,166107,2.0697622299194336
43,IPEN_8b0c0f3c76e76ade419e1a17013b6ded,295,1,12,assingID,257436,1.9914121627807617
44,IPEN_8b0c0f3c76e76ade419e1a17013b6ded,295,1,12,addSearchTerm,214536,2.1087260246276855
45,IPEN_8b0c0f3c76e76ade419e1a17013b6ded,295,1,12,addSearchTerm,288782,1.8857979774475098
46,IPEN_8b0c0f3c76e76ade419e1a17013b6ded,295,1,12,addSearchTerm,206910,1.9687747955322266
47,IPEN_8b0c0f3c76e76ade419e1a17013b6ded,295,1,12,addSearchTerm,203633,1.9956285953521729
48,IPEN_8b0c0f3c76e76ade419e1a17013b6ded,295,1,12,addSearchTerm,207733,2.079941987991333
49,IPEN_8b0c0f3c76e76ade419e1a17013b6ded,295,1,12,addSearchTerm,209175,1.9729092121124268
50,IPEN_8b0c0f3c76e76ade419e1a17013b6ded,295,1,12,addSearchTerm,209197,1.9676661491394043
51,IPEN_8b0c0f3c76e76ade419e1a17013b6ded,295,1,12,addSearchTerm,219894,2.0135345458984375
52,IPEN_8b0c0f3c76e76ade419e1a17013b6ded,295,1,12,addSearchTerm,222898,1.9924886226654053
53,IPEN_8b0c0f3c76e76ade419e1a17013b6ded,295,1,12,addSearchTerm,232036,1.968339204788208
54,IPEN_8b0c0f3c76e76ade419e1a17013b6ded,295,1,12,addSearchTerm,226558,2.069607734680176
55,IPEN_8b0c0f3c76e76ade419e1a17013b6ded,295,1,12,addSearchTerm,241657,1.992954969406128
56,IPEN_8b0c0f3c76e76ade419e1a17013b6ded,295,1,12,addExternalLink,185801,1.981992244720459
57,IPEN_554494f779f5f37b6a2acb1fb16ca406,236,1,12,assingID,257436,1.9722840785980225
58,IPEN_554494f779f5f37b6a2acb1fb16ca406,236,1,12,addSearchTerm,220801,2.003903388977051
59,IPEN_554494f779f5f37b6a2acb1fb16ca406,236,1,12,addSearchTerm,198079,1.9673197269439697
60,IPEN_554494f779f5f37b6a2acb1fb16ca406,236,1,12,addSearchTerm,209880,2.067582607269287
61,IPEN_554494f779f5f37b6a2acb1fb16ca406,236,1,12,addSearchTerm,212100,1.9861068725585938
62,IPEN_554494f779f5f37b6a2acb1fb16ca406,236,1,12,addSearchTerm,216520,2.0155980587005615
63,IPEN_554494f779f5f37b6a2acb1fb16ca406,236,1,12,addSearchTerm,215440,2.0833821296691895
